주야,요일,법규위반,도로형태_대분류,도로형태,당사자종별_1당_대분류,당사자종별_2당_대분류,경도,위도,사고피해정도,도시여부,주말/공휴일,인구수,발생지번호,보행자의위치,무단횡단여부
1,0,0,0,0,2,3,128.716,35.7012,0,0,0,0,3,0,0
0,1,0,0,0,0,4,127.0355,37.4849,0,0,0,0,89,0,0
0,1,6,1,1,0,3,127.2129,37.262,1,0,0,0,51,0,0
0,1,0,0,0,0,2,127.054,37.5234,0,0,0,0,89,0,0
0,1,0,0,0,0,1,127.0008,37.1754,0,0,0,0,50,0,0
0,2,0,0,0,4,1,128.6101,35.8258,0,0,0,0,37,0,0
0,2,0,0,0,4,1,126.8568,37.3267,0,0,0,0,2,0,0
1,2,0,0,0,0,2,127.2046,36.8849,0,0,0,0,63,0,0
1,2,6,1,1,0,4,126.8421,37.6533,0,0,0,0,40,0,0
1,2,0,1,1,0,9,126.5631,37.0046,1,0,0,0,46,0,0
1,2,0,0,0,1,1,128.4072,37.2872,0,0,0,0,114,0,0
1,2,0,2,4,9,1,128.1223,34.9361,0,0,0,0,87,0,0
1,2,0,0,0,4,1,127.7649,36.3313,0,0,0,0,142,0,0
0,2,0,2,4,1,1,127.0759,34.7964,0,0,0,0,122,0,0
0,2,6,1,1,1,4,128.7347,35.834,0,0,0,0,52,0,0
0,3,0,0,0,0,5,128.7625,35.6172,0,0,0,0,3,0,0
1,3,0,1,2,0,3,126.5876,37.6498,0,0,0,0,47,0,0
0,3,0,0,0,0,1,127.017,37.038,0,0,0,0,14,0,0
1,4,2,0,0,2,1,126.8051,37.2768,1,0,0,0,50,0,0
1,4,6,1,1,4,3,128.7586,37.9721,0,0,0,0,164,0,0
1,4,2,1,1,1,4,127.9156,36.2259,0,0,0,0,75,0,0
1,4,0,2,4,0,1,128.6212,38.1319,1,0,0,0,164,0,0
0,5,0,0,0,0,2,128.0767,35.1907,0,0,1,0,42,0,0
1,5,6,1,1,1,2,128.7331,35.8415,1,0,1,0,52,0,0
0,5,0,0,0,0,1,128.2699,37.1939,0,0,1,0,103,0,0
0,5,0,0,0,8,1,126.9568,35.954,0,0,1,0,125,0,0
0,6,5,1,2,0,2,129.1715,35.1738,0,0,1,0,1,0,0
0,6,6,1,2,0,1,127.0949,37.8267,0,0,1,0,59,0,0
0,6,5,0,0,0,2,128.274,35.928,1,0,1,0,168,0,0
0,0,0,0,0,0,1,129.2749,35.9448,0,0,0,0,100,0,0
0,0,0,0,0,0,2,129.1573,35.3898,0,0,0,0,49,0,0
1,0,6,1,1,4,2,126.7632,37.5047,0,0,0,0,65,0,0
1,0,0,1,1,1,4,127.4683,36.1249,0,0,0,0,68,0,0
1,0,0,0,0,1,1,127.6799,37.2358,0,0,0,0,22,0,0
1,0,0,0,0,8,1,127.5501,35.5663,0,0,0,0,155,0,0
1,0,0,0,0,9,1,127.6479,35.5271,0,0,0,0,108,0,0
0,1,0,2,4,0,1,126.8847,37.5189,0,0,0,0,150,0,0
1,1,0,0,0,0,1,126.8193,37.4346,0,0,0,0,73,0,0
1,1,5,1,2,0,2,128.079,35.0721,0,0,0,0,57,0,0
1,1,0,0,0,0,1,126.6891,36.6565,0,0,0,0,38,0,0
1,2,2,1,1,0,5,126.9532,35.9599,0,0,0,0,125,0,0
1,2,5,0,0,1,3,126.2458,36.8286,0,0,0,0,169,0,0
1,3,0,0,0,0,1,127.2715,36.219,0,0,0,0,61,0,0
1,3,0,0,0,0,5,128.171,36.5637,0,0,0,0,58,0,0
1,3,5,0,0,0,2,127.7567,37.8356,1,0,0,0,111,0,0
0,3,0,1,1,0,4,129.3284,36.0461,0,0,0,0,160,0,0
0,3,0,0,0,0,12,127.3387,37.979,0,0,0,0,171,0,0
0,3,3,0,0,0,2,127.0659,37.2738,0,0,0,0,99,0,0
1,4,0,0,0,0,11,127.5957,34.942,0,0,0,0,130,0,0
1,4,6,1,1,1,2,126.5127,33.4611,0,0,0,0,90,0,0
0,4,6,1,1,4,6,127.1877,37.5601,0,0,0,0,67,0,0
1,5,0,0,0,1,11,127.1507,35.9338,0,0,1,0,28,0,0
1,5,5,0,0,0,2,127.8554,38.0342,1,0,1,0,111,0,0
0,5,0,1,1,0,3,126.9017,35.2148,1,0,1,0,137,0,0
1,6,0,0,0,0,1,126.8418,37.504,0,0,1,0,79,0,0
0,6,0,0,0,1,3,128.1262,35.1299,0,0,1,0,42,0,0
1,0,0,1,1,3,5,127.0505,37.6176,0,0,0,0,167,0,0
1,0,0,1,2,4,1,126.645,34.3836,0,0,0,0,141,0,0
1,0,0,0,0,2,3,127.2464,37.6464,1,0,0,0,70,0,0
1,0,0,1,2,1,1,126.6506,36.4289,0,0,0,0,136,0,0
1,0,0,0,0,3,4,127.486,34.9815,0,0,0,0,27,0,0
0,0,0,0,0,1,8,128.2452,36.4105,0,0,0,0,58,0,0
0,0,0,0,0,1,6,128.6165,38.1376,0,0,0,0,164,0,0
0,1,0,0,0,0,3,128.5936,35.9143,0,0,0,0,112,0,0
0,1,0,0,0,0,1,127.4917,37.6283,0,0,0,0,176,0,0
1,1,0,1,2,0,1,129.1987,35.857,0,0,0,0,100,0,0
1,1,0,1,1,0,2,128.6849,36.5652,1,0,0,0,66,0,0
0,1,6,0,0,0,4,126.8175,35.1741,0,0,0,0,135,0,0
0,1,0,1,1,2,5,126.7671,37.5203,0,0,0,0,65,0,0
0,2,5,1,1,9,2,128.8328,35.3963,0,0,0,0,177,0,0
0,2,0,0,0,0,1,127.0768,37.7823,0,0,0,0,59,0,0
0,2,0,1,2,1,3,127.116,37.3865,0,0,0,0,95,0,0
0,2,0,1,2,1,3,128.5557,35.9816,0,0,0,0,21,0,0
0,2,0,0,0,1,2,128.6913,35.8876,0,0,0,0,26,0,0
0,2,2,0,0,1,5,129.3617,35.561,0,0,0,0,158,0,0
1,2,0,0,0,1,4,128.7596,36.8664,0,0,0,0,149,0,0
1,2,0,1,2,0,1,126.5785,35.0346,0,0,0,0,157,0,0
1,2,0,0,0,2,5,128.5822,35.874,0,0,0,0,178,0,0
1,2,5,0,0,4,2,127.1431,37.4814,0,0,0,0,156,0,0
0,2,6,1,1,0,3,127.1342,35.873,0,0,0,0,11,0,0
1,3,0,0,0,1,9,126.9015,35.8274,0,0,0,0,34,0,0
1,3,0,1,1,0,1,126.7196,35.9595,0,0,0,0,166,0,0
1,3,0,1,1,1,5,129.0689,35.1244,0,0,0,0,180,0,0
1,3,0,0,0,1,3,127.1518,36.443,0,0,0,0,19,0,0
0,3,0,1,1,3,5,128.5534,35.8925,0,0,0,0,112,0,0
1,4,0,0,0,0,2,127.1521,36.6754,1,0,1,0,63,0,0
1,4,0,0,0,9,1,129.4313,35.8669,0,0,1,0,100,0,0
1,5,0,0,0,0,1,127.0211,35.2948,0,0,1,0,181,0,0
0,5,0,0,0,1,1,126.6103,36.4052,0,0,1,0,136,0,0
0,6,0,1,2,0,4,126.9925,37.5778,0,0,1,0,116,0,0
0,6,5,1,2,1,3,126.3406,33.4633,0,0,1,0,90,0,0
1,6,0,0,0,9,1,127.6523,36.0548,0,0,1,0,182,0,0
1,6,0,1,1,1,1,129.5073,35.8222,0,0,1,0,100,0,0
1,6,7,1,1,9,4,129.0977,35.5842,0,0,1,0,17,0,0
1,6,0,0,0,4,1,126.7044,37.7798,0,0,1,0,175,0,0
0,0,0,1,1,0,1,127.7278,37.8802,0,0,0,0,111,0,0
1,0,0,0,0,4,1,128.4396,35.7826,0,0,0,0,30,0,0
0,0,2,0,0,0,2,126.8113,37.445,0,0,0,0,73,0,0
0,1,0,0,0,1,3,126.8304,35.5745,0,0,0,0,12,0,0
1,1,5,0,0,1,2,127.3975,38.1667,1,0,0,0,184,0,0
1,1,0,0,0,1,1,128.9716,36.6452,0,0,0,0,66,0,0
1,1,2,0,0,1,5,128.5599,35.9462,0,0,0,0,112,0,0
0,1,2,0,0,0,8,126.6909,35.6953,1,0,0,0,185,0,0
0,2,0,0,0,0,1,128.2588,36.2512,0,0,0,0,144,0,0
0,2,0,0,0,4,1,126.6887,37.4805,0,0,0,0,97,0,0
0,2,0,0,0,4,1,127.9504,37.3483,0,0,0,0,36,0,0
1,2,0,0,0,9,1,128.4464,37.5464,0,0,0,0,24,0,0
1,2,0,1,2,4,2,126.7293,36.6869,0,0,0,0,187,0,0
1,2,0,0,0,4,1,128.6809,36.159,0,0,0,0,170,0,0
1,2,3,0,0,0,11,129.0968,35.5023,0,0,0,0,17,0,0
1,3,0,0,0,1,4,128.3491,35.3257,0,0,0,0,117,0,0
1,3,0,0,0,1,1,127.8739,35.0211,0,0,0,0,172,0,0
1,3,6,1,1,4,3,126.9924,37.7932,0,0,0,0,59,0,0
0,3,0,2,4,0,1,128.1781,35.9291,0,0,0,0,168,0,0
0,4,5,0,0,4,2,127.4306,36.3305,0,0,0,0,80,0,0
1,4,2,1,2,1,5,127.1382,36.8335,1,0,0,0,63,0,0
1,4,6,1,1,1,6,127.3054,36.3605,0,0,0,0,148,0,0
1,4,6,1,1,0,3,127.6894,36.1027,0,0,0,0,75,0,0
1,4,0,0,0,4,1,126.9308,36.8791,0,0,0,0,53,0,0
1,4,0,1,1,1,8,127.3214,37.6514,0,0,0,0,70,0,0
1,4,6,1,1,1,3,126.8943,37.1228,0,0,0,0,50,0,0
1,4,0,0,0,0,1,126.9326,34.5098,1,0,0,0,56,0,0
0,4,5,0,0,0,4,126.9167,35.1226,0,0,0,0,190,0,0
0,5,0,0,0,4,4,127.3325,37.5371,0,0,1,0,48,0,0
0,5,0,1,2,4,3,127.1288,37.4218,0,0,1,0,95,0,0
1,5,0,0,0,4,1,127.3147,34.5259,0,0,1,0,191,0,0
1,5,0,0,0,0,3,128.9397,35.9394,0,0,1,0,5,0,0
1,5,0,1,1,4,3,126.9092,35.8018,0,0,1,0,34,0,0
1,5,0,2,4,7,1,126.9006,37.4346,0,0,1,0,151,0,0
0,6,6,1,1,0,1,127.051,37.923,0,0,1,0,94,0,0
0,6,0,1,2,0,4,127.1223,37.3825,0,0,1,0,95,0,0
1,6,5,0,0,1,3,126.3873,34.7416,0,0,1,0,16,0,0
1,0,5,1,3,4,2,126.2968,33.2678,0,0,0,0,62,0,0
0,1,0,1,2,0,1,127.1105,35.7952,0,0,0,0,11,0,0
1,1,0,0,0,1,1,127.4585,35.0205,0,0,0,0,27,0,0
1,1,0,0,0,1,1,127.2872,37.44,0,0,0,0,9,0,0
1,1,0,0,0,0,2,127.43,35.7925,1,0,0,0,192,0,0
0,1,6,1,1,4,6,126.9199,37.6234,0,0,0,0,139,0,0
0,1,5,0,0,0,2,128.757,35.8197,2,0,0,0,52,0,0
1,2,6,1,1,0,2,126.971,35.9582,1,0,0,0,125,0,0
1,2,5,1,2,7,6,127.3945,36.3255,0,0,0,0,39,0,0
1,2,0,0,0,1,1,127.4078,35.4086,0,0,0,0,193,0,0
1,2,0,0,0,0,9,127.7829,34.9888,0,0,0,0,172,0,0
0,2,6,1,1,6,2,126.6018,36.3459,0,0,0,0,136,0,0
0,2,0,0,0,1,7,126.7314,35.723,0,0,0,0,185,0,0
0,2,0,0,0,1,1,128.8264,37.7141,0,0,0,0,194,0,0
0,3,5,0,0,0,2,126.9381,37.0316,1,0,0,0,14,0,0
0,3,0,0,0,5,3,128.4444,35.6392,0,0,0,0,30,0,0
0,3,0,0,0,4,1,126.882,37.4851,0,0,0,0,109,0,0
0,3,0,0,0,0,2,126.9284,37.5771,0,0,0,0,195,0,0
1,3,7,1,1,0,4,128.1782,36.1031,0,0,0,0,76,0,0
0,3,0,0,0,1,1,127.2719,34.6094,0,0,0,0,191,0,0
0,3,0,1,2,4,1,126.4876,35.2595,0,0,0,0,127,0,0
0,3,6,1,2,1,3,126.442,34.9439,0,0,0,0,101,0,0
0,3,0,1,2,0,1,126.921,34.6924,0,0,0,0,56,0,0
1,4,5,0,0,8,2,127.0729,37.5926,0,0,0,0,196,0,0
1,4,0,1,2,1,1,126.5731,33.5122,0,0,0,0,90,0,0
1,4,0,0,0,8,1,127.1743,34.8072,0,0,0,0,122,0,0
0,4,0,1,1,0,2,129.3822,35.9766,0,0,0,0,160,0,0
0,5,0,1,3,0,1,129.1049,35.2835,0,0,1,0,96,0,0
0,5,6,1,1,1,4,127.5187,36.6234,0,0,1,0,83,0,0
0,5,0,1,2,1,2,128.1035,35.1794,0,0,1,0,42,0,0
1,5,0,0,0,0,9,126.7594,37.2116,0,0,1,0,50,0,0
1,5,0,1,1,0,4,129.2174,35.9863,0,0,1,0,100,0,0
1,5,0,1,1,0,4,127.2307,37.2326,0,0,1,0,51,0,0
1,5,0,2,4,6,1,126.7204,37.347,0,0,1,0,73,0,0
1,5,0,0,0,4,1,128.4551,36.5544,0,0,1,0,55,0,0
0,5,5,0,0,4,2,128.0135,35.71,0,0,1,0,154,0,0
0,5,0,0,0,4,1,127.8504,34.8133,0,0,1,0,197,0,0
0,5,0,0,0,1,3,126.8645,33.5157,0,0,1,0,90,0,0
0,6,0,0,0,0,1,128.8538,35.2107,0,0,1,0,13,0,0
1,6,5,0,0,0,2,128.6707,37.411,1,0,1,0,198,0,0
0,6,6,1,1,4,2,127.066,37.1713,0,0,1,0,143,0,0
0,0,0,0,0,4,1,129.3841,35.9748,0,0,0,0,160,0,0
